"","mean","se_mean","sd","5%","95%","n_eff","Rhat","politician_id_numeric","fullname"
"alpha[431,3]",-0.141531726310665,0.0627438709892427,0.962029671728732,-1.68782445183392,1.44557437176977,235.090086722186,1.00734649098443,431,"Cynthia Lummis"
"alpha[431,4]",-0.134859011375478,0.0620890917006463,0.817675253124473,-1.44410982415753,1.28057401470881,173.432743791787,1.01262247285468,431,"Cynthia Lummis"
"alpha[431,5]",-0.121328427477545,0.45372504589318,0.856565440278766,-1.3881146128089,1.39803593237682,3.56398271853608,1.14161932735918,431,"Cynthia Lummis"
"alpha[431,6]",-0.140811528852274,0.476194258054947,0.856274849115681,-1.46376123953484,1.35175577228763,3.23338982315511,1.1477584295338,431,"Cynthia Lummis"
"alpha[431,7]",-0.074622802340758,0.120656359538062,0.936767011499663,-1.58749746386036,1.41060306735491,60.2785423798351,1.02742202678566,431,"Cynthia Lummis"
"alpha[431,8]",-0.0733453133957736,0.160429639157469,0.947186531287551,-1.67452208267468,1.44752893032368,34.8579477365557,1.05042954572432,431,"Cynthia Lummis"
"alpha[431,9]",0.825436077683225,0.246621575517794,0.711457898374229,-0.298224895169402,2.01599855790915,8.32216408787075,1.06362803467463,431,"Cynthia Lummis"
"alpha[431,10]",-1.77117155628488,0.116846492472734,0.64919793626718,-2.85663378323813,-0.742993844185738,30.8690241719545,1.05250502752413,431,"Cynthia Lummis"
"alpha[431,11]",-0.104590668975909,0.292002951188291,1.02010301271601,-1.76156868954142,1.61841749732563,12.2043197876539,1.19550896894255,431,"Cynthia Lummis"
"alpha[431,12]",-0.98402384578805,0.0489725264768031,0.738078319724919,-2.29483858191056,0.121195989217404,227.143272113746,1.01244911087296,431,"Cynthia Lummis"
"alpha[431,13]",0.0836464615361389,0.220378892174906,1.01530824627956,-1.53292739877432,2.00367932303549,21.2253976764741,1.07796178981892,431,"Cynthia Lummis"
"alpha[431,14]",0.182501869235526,0.0935342987558819,0.966073122812908,-1.31534353801513,1.73809587021744,106.67882173495,1.00606981841053,431,"Cynthia Lummis"
"alpha[431,15]",0.0629859240250713,0.0514825765677893,0.948965264284419,-1.41802108168866,1.66087792761575,339.766130102177,1.00497525276666,431,"Cynthia Lummis"
"alpha[431,16]",0.391118750231787,0.0171829617497768,0.214344862938063,0.0795864251749369,0.755773918420138,155.607352026871,1.00298172565788,431,"Cynthia Lummis"
"alpha[431,17]",0.603564983463806,0.045199205258105,0.596051255162148,-0.149106855231121,1.64096656348996,173.902416316752,1.01382595310062,431,"Cynthia Lummis"
"alpha[431,18]",0.509213565398228,0.0631797727502677,0.747328560015714,-0.554395578589051,1.90210073817346,139.915890315987,1.01614930885293,431,"Cynthia Lummis"
"alpha[431,19]",0.744709731251487,0.109529140185251,0.571625276162839,-0.00305457694474397,1.78203147481233,27.2372647069078,1.09333114124278,431,"Cynthia Lummis"
"alpha[431,20]",0.310999617078124,0.0775703680891858,0.792782736664295,-0.810560182424194,1.70620287247986,104.451977024934,1.01713242320326,431,"Cynthia Lummis"
"alpha[431,21]",0.220074061368644,0.0576318190023523,0.96102687494624,-1.36661149775047,1.80047053674161,278.065053452907,1.01434928823597,431,"Cynthia Lummis"
